LoggingGUID	VocabulairGUID	IMBORGUID	GitHub-issueID	Omschrijving	Terugkoppeling	Loggingsdatum	Status	Aard aanpassing	Collectie	LoggingType	VervangGUID
00a786f8-4e1d-4036-a914-00b57116bc0e	N.v.t.	{8991A023-0537-4A9F-A03A-5B34764D3B4E}	1095	NEN3610 laatste versie van URI's gebruiken in IMBOR	Registratie: URI toegevoegd en definitie toegevoegd aan refModel_Objecttypen.	Tue Mar 28 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	Nieuw	Mappingelement toegevoegd	Objecttype	Minimale wijziging	null
00a9e3d9-0a74-403b-a072-d7aeaf6d5f52	{7F91A82E-3BA4-4FD2-A55B-20D5A17D00D2}	{AE0870E4-3F94-44AC-8D4E-76112CA7F5F3}	884	Analyse term niet gebruiken in definitie van term: categorie 1	De definitie van:vrije ruimte minimale hoogte rechts; is aangepast van: "Vrije ruimte minimale hoogte rechts.", naar: "Aanduiding van wat de beschikbare afstand in verticale richting gemeten vanaf de ondergrond aan de linkerzijde tenminste dient te bedrag	Fri May 05 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	Wijziging	Definitie gewijzigd	Attribuut	Minimale wijziging	null
00ab6519-e8b5-4289-b381-551d6e0ef4f8	N.v.t.	{87EB3634-1E81-4E46-BD4A-D4124AB193B9}	1188	Gemeente Den Haag: Laadinfrastructuur: toevoegen meterinformatie aan Oplaadpaal	communicatieprotocol verwijderd bij Nutsaansluiting in imborKern_K_KlassenAttributen	Mon Jun 10 2024 00:00:00 GMT+0000 (Coordinated Universal Time)	Vervallen	Attribuut vervallen bij klasse	Attribuut	Minimale wijziging	null
00b1defa-3635-41b6-b2e8-52b159328f2c	N.v.t.	{995464ED-2700-4F06-B987-D74CB5CCBCF9}	357	Bij Wegmarkering het attribuut richting toevoegen	In imborKern_KlassenAttributen orientatierichting toegevoegd bij de klasse Wegmarkering.	Fri Nov 25 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	Nieuw	Attribuut toegekend aan klasse	Attribuut	Minimale wijziging	null
00b253b3-a2a4-4d6a-afb6-3b62dc3acdd2	N.v.t.	{2A297D47-ACDA-4675-94BE-D0FC6CB0F7AA}	1188	Gemeente Den Haag: Laadinfrastructuur: toevoegen meterinformatie aan Oplaadpaal	telecomadres vervalt bij Pomp in imborKern_K_KlassenAttributen.	Mon Jun 10 2024 00:00:00 GMT+0000 (Coordinated Universal Time)	Nieuw	Attribuut vervallen	Attribuut	Minimale wijziging	null
00b9917b-56e6-41bc-a25b-4ea74701f5e0	{B099E67D-F969-42D5-BD25-8CD67B2C2D91}	{547BE48D-F575-4AD1-91EB-5093B3AC3ED0}	884	Analyse term niet gebruiken in definitie van term: categorie 1	De definitie van:streefdiepte; is aangepast van: "Streefdiepte van het vaarwater.", naar: "De gewenste verticale afstand gemeten vanaf het wateroppervlak naar de bodem van het vaarwater."	Fri May 05 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	Wijziging	Definitie gewijzigd	Attribuut	Minimale wijziging	null
00cc7beb-3f12-4a85-a588-687728de2fa4	{5D654536-95A9-406A-BA95-558885B58524}	{DD9CE1E5-D779-4477-82B0-B61603248506}	1149	UNAFACT: Armoede van FloraEnFauna-InformatieBeschermdeFloraEnFaunaGedetailleerd	Bosmuis is toegevoegd aan imborVoc_Termen	Wed May 10 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	Nieuw	Term toegevoegd	Domeinwaarde	Minimale wijziging	null
00d9f81c-b262-4181-8a4a-e8516386ed16	{C0BC3279-2F8F-4A1A-B3E6-D22A77297029}	{FA4B67C9-33D6-43F7-AC87-976F6DB8D2F8}	884	Analyse term niet gebruiken in definitie van term: categorie 1	De definitie van:maximale overspanning; is aangepast van: "Maximale overspanning van een overbruggingsobject.", naar: "Aanduiding voor de langste horizontale vrije ruimte tussen de steunpunten van een overbruggingsobject."	Fri May 05 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	Wijziging	Definitie gewijzigd	Attribuut	Minimale wijziging	null
00daeda4-87fb-4d00-8682-cb401c5be49d	N.v.t.	{5467E876-2F28-4EC2-B3A0-3409E46BF860}	1101	Afleidbare attributen zo veel mogelijk consistent uit IMBOR verwijderen	Registratieve ruimte :: heeft deel :: Registratieve ruimte is toegevoegd aan imborKern_K_ObjecttypenSemantischeRelaties	Fri May 19 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	Nieuw	Semantische relatie toegevoegd	Semantische relatie	Minimale wijziging	null
00f1ad2f-602d-4983-a3da-a41a1a5f5101	{8BA7C6AB-1963-4D15-A686-3D53FB18F86D}	{A8AA4374-666E-4D81-9B11-18D04AEE6543}	884	Analyse term niet gebruiken in definitie van term: categorie 1	De definitie van:Struikvormers; is aangepast van: "Bosplantsoen welke geheel uit struikvormers bestaat.", naar: "Bosplantsoen welke geheel uit struikachtige planten bestaat."	Fri May 05 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	Wijziging	Definitie gewijzigd	Domeinwaarde	Minimale wijziging	null
00fcce71-9eab-4fba-9a49-7bb7508d09b2	N.v.t.	N.v.t.	810	Antea Group | Prio: Nee | H2V lengte en breedte	letterhoogteklasse huisnummers is in datatype gewijzigd naar Enumeratie	Fri Mar 24 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	Wijziging	Datatype gewijzigd	Datatype	Minimale wijziging	null
010cc25f-d886-412d-be84-666bc1156c9f	N.v.t.	{9B373019-8850-4086-BD09-6450C6ECFE16}	1116	Afstemming met Handboek Bomen: beschermingsstatus, beschermingsstatus gedetailleerd en meerstammig	BoomBeschermingsstatus :: Geen beschermingsstatus komt te vervallen in imborKern_EnumeratiesDomeinwaarden	Wed Apr 12 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	Vervallen	Domeinwaarde vervallen	Domeinwaarde	Minimale wijziging	null
01222592-5057-4449-a46b-4f6436094251	N.v.t.	N.v.t.	1076	BGT 1.2: Kunstwerkdeel: type: Hoogspanningsmast kan niet uitgedrukt worden in IMBOR 2022	Hoogspanningsmast toegevoegd aan imborKern_Klassen. Hoogspanningsmast toegevoegd aan Kunstwerk in imborKern_Klassenindeling.	Fri Mar 24 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	Nieuw	Klasse toegevoegd	Klasse	Minimale wijziging	null
01279eeb-05c5-4b4a-b4dd-a80f747fb5ee	N.v.t.	{84A60199-67CF-40CF-978E-BDA1C0F67880}	1188	Gemeente Den Haag: Laadinfrastructuur: toevoegen meterinformatie aan Oplaadpaal	Vervallen bij enumeratietype vanwege herindeling Communicatie-informatie: 4G	Mon Jun 10 2024 00:00:00 GMT+0000 (Coordinated Universal Time)	Vervallen	Domeinwaarde vervallen	Domeinwaarde	Minimale wijziging	null
013574f5-8e9d-4e9e-9fc4-00e487937dbc	N.v.t.	{685A5CF8-9D3E-4AFB-B748-E55DF20DC49C}	N.v.t.	Hermodellering IMBOR Wegmarkeringen 28/02/2024	Dubbele asstreep wordt toegevoegd aan LijnmarkeringMarkeringToepassing in imborKern_EnumeratiesDomeinwaarden	Fri Mar 01 2024 00:00:00 GMT+0000 (Coordinated Universal Time)	Nieuw	Domeinwaarde toegevoegd	Domeinwaarde	Minimale wijziging	null
01379e59-228b-4b74-8ad6-7e2755d6f9bd	{25DA537C-9977-4701-A84C-BE020C01C909}	{B10119D6-239C-4203-A423-CE51E52E8633}	884	Analyse term niet gebruiken in definitie van term: categorie 1	De definitie van:MechanischeAfsluiterType; is aangepast van: "Het enumeratietype MechanischeAfsluiterType is de naam voor de domeinwaardenlijst van de klasse Mechanische afsluiter en het attribuut type.", naar: "Het enumeratietype voor de domeinwaardenlij	Fri May 05 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	Wijziging	Definitie gewijzigd	Enumeratietype	Minimale wijziging	null
013e7733-3051-4e21-a872-0ca2ddf9ae7c	N.v.t.	{34C2F6BD-6B16-449E-B5B9-202B187D2AA5}	1136	Afstemming met Handboek Bomen: takvrije stam, takvrije zone primair, takvrije zone secundair	BoomTakvrijeZonePrimair :: 8 m. vervalt in imborKern_EnumeratiesDomeinwaarden	Fri Apr 14 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	Vervallen	Domeinwaarde vervallen	Domeinwaarde	Minimale wijziging	null
01442c0d-69d3-447f-bc60-d67e99e2d6ae	{EC4EA4FF-E2EC-4FE1-8AAF-A7751BD22C97}	{0F846C5C-4BF6-4236-8550-3104C98F9FD1}	884	Analyse term niet gebruiken in definitie van term: categorie 1	De definitie van:WegWegindeling; is aangepast van: "Het enumeratietype WegWegindeling is de naam voor de domeinwaardenlijst van de klasse Weg en het attribuut wegindeling.", naar: "Het enumeratietype voor de domeinwaardenlijst van de klasse Weg en het att	Fri May 05 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	Wijziging	Definitie gewijzigd	Enumeratietype	Minimale wijziging	null
0146336c-b4ed-4261-8bd6-65495b13b1e2	{D7411077-F66D-40EB-8010-FE6220B434B1}	{834D51A3-5658-4ADC-8D68-ADF5DFC6FC9B}	884	Analyse term niet gebruiken in definitie van term: categorie 1	De definitie van:MeldpaalType; is aangepast van: "Het enumeratietype MeldpaalType is de naam voor de domeinwaardenlijst van de klasse Meldpaal en het attribuut type.", naar: "Het enumeratietype voor de domeinwaardenlijst van de klasse Meldpaal en het attr	Fri May 05 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	Wijziging	Definitie gewijzigd	Enumeratietype	Minimale wijziging	null
015d9e2a-65c3-421e-a0c2-17add3d1f7e3	N.v.t.	{4D4F1A0B-D1CF-4CA0-B744-0333A13F9C83}	1136	Afstemming met Handboek Bomen: takvrije stam, takvrije zone primair, takvrije zone secundair	BoomTakvrijeStam :: 8 m. vervalt in imborKern_EnumeratiesDomeinwaarden	Fri Apr 14 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	Vervallen	Domeinwaarde vervallen	Domeinwaarde	Minimale wijziging	null
0177a22c-8d69-42ce-84c1-6b3d66e5cd61	N.v.t.	{EA2677E3-0055-4D3E-BAD6-CF658F41D10C}	673	Rotterdam | review CROW IMBOR | 2	BandAfmeting :: 50x200x250 is toegevoegd aan BandAfmeting in imborKern_EnumeratiesDomeinwaarden	Thu Jan 26 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	Nieuw	Domeinwaarde toegevoegd	Domeinwaarde	Minimale wijziging	null
01791504-be19-4f6f-9090-7232878987db	N.v.t.	{E0187B50-80AB-422C-B558-1F950A095EEA}	394	Verwerken onderzoek naar verschijningsvormen verkeersregelinstallaties.	Rechtsaf voor fietsers vrij toegevoegd aan VerkeerslantaarnTypeGedetailleerd in imborKern_EnumeratiesDomeinwaarden	Fri Mar 24 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	Nieuw	Domeinwaarde toegevoegd	Domeinwaarde	Minimale wijziging	null
017b2377-e0cc-4916-af58-494e5c371f2e	N.v.t.	{DA8059B9-A8BC-4259-9D2D-E61851B73056}	1224	In refModel_Mapping verwijzing naar objecttype Leiding uit verkeerde refinformatiemodel	IMGeo:leiding wordt in mapping vervangen door nen3610:leiding	Thu Jan 18 2024 00:00:00 GMT+0000 (Coordinated Universal Time)	Wijziging	Mapping gewijzigd	Klasse	Minimale wijziging	null
0184d316-2f1f-46ae-888e-e395aea320e6	N.v.t.	{9067238A-E55E-475E-B468-577EB8E731B9}	1132	Afstemming met Handboek Bomen: omgevingsrisicoklasse	Niet bepaald toegevoegd aan BosplantsoenOmgevingsrisicoklasseBVC in imborKern_EnumeratiesDomeinwaarden	Fri Apr 14 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	Nieuw	Domeinwaarde toegevoegd	Domeinwaarde	Minimale wijziging	null
0187d1c6-fea2-40e5-b01f-1fe42bc5985a	N.v.t.	{52727E03-6EC7-4AE0-AC32-463B54F0B413}	1188	Gemeente Den Haag: Laadinfrastructuur: toevoegen meterinformatie aan Oplaadpaal	Vervallen bij enumeratietype vanwege herindeling Communicatie-informatie: Remote monitoring	Mon Jun 10 2024 00:00:00 GMT+0000 (Coordinated Universal Time)	Vervallen	Domeinwaarde vervallen	Domeinwaarde	Minimale wijziging	null
0192b430-50ef-444a-ba1c-3acedb959356	{389D5470-4CDD-44A4-BDFF-E3E02D12AB68}	{418200CF-EC47-4394-BB3D-153A0739F689}	884	Analyse term niet gebruiken in definitie van term: categorie 1	De definitie van:TunnelventilatieTypeBesturing; is aangepast van: "Het enumeratietype TunnelventilatieTypeBesturing is de naam voor de domeinwaardenlijst van de klasse Tunnelventilatie en het attribuut type besturing.", naar: "Het enumeratietype voor de d	Fri May 05 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	Wijziging	Definitie gewijzigd	Enumeratietype	Minimale wijziging	null
01987728-25e0-4d16-b25f-e4ce700d526a	{91582136-0997-4930-8BDA-C39C39A3888D}	{58269425-3AF4-4958-99D2-B3C780211788}	1154	Gemeente Maastricht: Uitklimvoorziening uitbreiden	UitklimvoorzieningTypeGedetailleerd is toegevoegd aan imborVoc_Termen	Wed Jun 28 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	Nieuw	Term toegevoegd	Enumeratietype	Minimale wijziging	null
01a08d12-60c5-4eac-a331-9376fd8b60ed	N.v.t.	N.v.t.	Unafact41	Uitbreiding IMBOR Laadinfrastructuur: Objecttype: Stationaire batterij	Stationaire batterij toegevoegd aan imborKern_Klassen. (ID: 3405) Stationaire batterij toegevoegd aan de klasse Installatie in imborKern_K_KlassenChildParent en imborKern_Klassenindeling.	Mon Nov 28 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	Nieuw	Klasse toegevoegd	Klasse	Minimale wijziging	null
01ac7020-4030-4ca6-9508-ed21f7fd9d24	N.v.t.	{F77D2897-68C6-4861-A22C-049CF455DF93}	UNAFACTcontrole	Toevoegingen aan IMGeo-mapping	Stationaire batterij toegevoegd aan refModel_Mapping	Fri Mar 31 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	Nieuw	Mapping toegevoegd	Objecttype	Minimale wijziging	null
01ae4781-6959-4f34-b104-da6235396924	N.v.t.	{BF047033-E7A4-45B4-AA20-76495DE6B47B}	991	IMGeo-IMBOR mapping vocabulaire scheiden van klassen en attributen	Combikast_bor-type verwijderd uit imborKern_K_KlassenAttributen	Mon Jan 23 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	Vervallen	Attribuut vervallen bij klasse	Attribuut	Minimale wijziging	null
01b04646-64b4-4198-8d90-1b696d2e5637	{457566D6-A493-4734-82EC-ED086C8A0778}	{EA50FDD1-A44F-4A8C-8FEE-90E76E538B3C}	1027	Haarlem: type van Kunstobject: Vrijstaand beeld	In imborVoc_Termen is de domeinwaarde toegevoegd.	Fri Nov 25 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	Nieuw	Term toegevoegd	Domeinwaarde	Minimale wijziging	null
01bcd35f-4776-4a0a-af8f-8ca3186c0232	{0D64B5CE-9FC6-456A-B582-F1442E0F6305}	{78193B9C-E006-4873-A775-2864CB2004A1}	1228	Afstemming Handboek Bomen en IMBOR definitief maken	Smalle kroon toegevoegd aan imborVoc_Termen.	Tue Dec 19 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	Nieuw	Term toegevoegd	Domeinwaarde	Minimale wijziging	null
01c5edfd-1c84-4966-b175-26adbed71d91	{9571440D-487E-48C6-B509-99F3DB8CE2EB}	{6B7F3ECC-54A5-4CBA-8094-62B0D4E9A392}	1149	UNAFACT: Armoede van FloraEnFauna-InformatieBeschermdeFloraEnFaunaGedetailleerd	Waterspitsmuis is toegevoegd aan imborVoc_Termen	Wed May 10 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	Nieuw	Term toegevoegd	Domeinwaarde	Minimale wijziging	null
01c86677-7520-4ca4-9236-41639b23d081	{138A63FF-305A-4746-9760-B95A26414F36}	{8C8EB435-18DF-43CD-B2E5-1D4383E9F049}	995	Zebrapad toegevoegd bij Wegmarkering	‘Zebrapad’ is als domeinwaarden toegevoegd aan imborVocTermen en gedefinieerd en aan het enumeratietype WegmarkeringMarkeringToepassing toegevoegd.	Fri Nov 25 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	Nieuw	Term toegevoegd	Domeinwaarde	Minimale wijziging	null
01c9aa11-3bbc-443f-b3df-df6f2cd46c43	{E5AF4F96-2EC2-46D9-979A-052FA9168F86}	{D7488302-A91B-4FAB-9B58-0AF7B3577D43}	673	Rotterdam | review CROW IMBOR | 2	250x130x200 toegevoegd aan imborVoc_Termen	Thu Jan 26 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	Nieuw	Term toegevoegd	Domeinwaarde	Minimale wijziging	null
01ceeb4f-9fe7-42f5-ba4f-8e606bc6cbcf	N.v.t.	{C56AAEE4-56FC-42F6-A6C6-2344DC46E38E}	1092	De Eenheid 'Integer' is niet juist	Eenheid integer is komen te vervallen in imborKern_K_KlassenAttributen. Combinatie van klasse en attribuut is in eenheid aangepast.	Mon Mar 27 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	Wijziging	Eenheid gewijzigd	Eenheid	Minimale wijziging	null
01dc0a93-ffb0-4698-9de7-be1f37e72385	N.v.t.	{42C6ED77-53B7-4C49-ACF2-6A0ACE60EFD2}	N.v.t.	Hermodellering IMBOR Wegmarkeringen 28/02/2024	Dubbele kantstreep wordt toegevoegd aan LijnmarkeringMarkeringToepassing in imborKern_EnumeratiesDomeinwaarden	Fri Mar 01 2024 00:00:00 GMT+0000 (Coordinated Universal Time)	Nieuw	Domeinwaarde toegevoegd	Domeinwaarde	Minimale wijziging	null
01e93df0-9d42-4f63-8bd8-6ec8ca9ad540	N.v.t.	{C7374F76-D33F-4156-8A73-8357B291D0B4}	N.v.t.	Afstemming met Handboek Bomen juli 2024: wijzigingen op klassen Boom en Groeiplaatsinrichting	Attribuut vervalt bij de klasse Boom vanwege verwijderen term. Behoort tot het Handboek Bomen in imborKern_K_KlassenAttributen	Wed Jul 10 2024 00:00:00 GMT+0000 (Coordinated Universal Time)	Vervallen	Attribuut vervallen bij klasse	Attribuut	Minimale wijziging	null
01ed6fe0-6907-4cbd-9dc2-a9dbe6e12c2a	N.v.t.	{2BCC0F7A-212E-4756-98C2-F6F95292ED57}	1149	UNAFACT: Armoede van FloraEnFauna-InformatieBeschermdeFloraEnFaunaGedetailleerd	Steenmarter is toegevoegd aan FloraEnFauna-InformatieBeschermdeFloraEnFaunaGedetailleerd in imborKern_EnumeratiesDomeinwaarden	Wed May 10 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	Nieuw	Domeinwaarde toegevoegd	Domeinwaarde	Minimale wijziging	null
01f36a8d-65b8-450a-a02d-ac19ea088c35	N.v.t	{08CECAB6-A1E5-4453-B8E3-1D390EA6E953}	Unafact118	GWSW: Fysiek object-Constructieonderdeel-Elektronisch component-PLC: Spelling verbeterd in GWSW: c --> k. Aanpassen in IMBOR. Aanpassen in mapping	Spelling van het GWSW-object aangepast in refModel_Objecttypen.	Mon Nov 28 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	Wijziging	Mappingelement gewijzigd	Objecttype	Minimale wijziging	null
01f614e5-fc28-443f-957f-80be66c47676	{B6FA0287-DD64-4510-9759-8ED3FA782967}	{E9E735BC-E7FC-446B-922F-85C6193C030D}	884	Analyse term niet gebruiken in definitie van term: categorie 1	De definitie van:Pigging-InstallatieTypeBesturing; is aangepast van: "Het enumeratietype Pigging-InstallatieTypeBesturing is de naam voor de domeinwaardenlijst van de klasse Pigging-installatie en het attribuut type besturing.", naar: "Het enumeratietype 	Fri May 05 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	Wijziging	Definitie gewijzigd	Enumeratietype	Minimale wijziging	null
01f708fd-8629-415b-a5d1-c3ad09fdc5a2	{C783CFBD-02C2-4715-8B9A-5E7009E7ACB3}	{D60D1D01-7FE3-4C32-93B4-B5EBB0860201}	884	Analyse term niet gebruiken in definitie van term: categorie 1	De definitie van:Drijverstuw; is aangepast van: "De drijverstuw is een onafhankelijk functionerende stuw waarbij verschillen evenredig over een gebied verdeeld worden, wanneer het boven- en onderpand een vast peilverschil ten opzichte van elkaar moeten be	Fri May 05 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	Wijziging	Definitie gewijzigd	Domeinwaarde	Minimale wijziging	null
